Month,Day,Year,Max,Min
1,1,1874,44,32
1,2,1874,48,36
1,3,1874,61,40
1,4,1874,66,50
1,5,1874,62,34
1,6,1874,45,32
1,7,1874,62,56
1,8,1874,56,36
1,9,1874,52,34
1,10,1874,50,36
1,11,1874,44,33
1,12,1874,36,27
1,13,1874,32,25
1,14,1874,35,25
1,15,1874,28,12
1,16,1874,25,10
1,17,1874,31,14
1,18,1874,33,14
1,19,1874,38,28
1,20,1874,42,27
1,21,1874,44,27
1,22,1874,63,41
1,23,1874,66,39
1,24,1874,44,28
1,25,1874,30,20
1,26,1874,29,15
1,27,1874,43,29
1,28,1874,54,39
1,29,1874,44,32
1,30,1874,42,23
1,31,1874,33,22
2,1,1874,30,17
2,2,1874,27,11
2,3,1874,35,20
2,4,1874,36,27
2,5,1874,31,23
2,6,1874,26,18
2,7,1874,24,16
2,8,1874,30,20
2,9,1874,31,17
2,10,1874,32,26
2,11,1874,39,27
2,12,1874,38,21
2,13,1874,51,28
2,14,1874,54,37
2,15,1874,44,30
2,16,1874,54,34
2,17,1874,38,22
2,18,1874,38,18
2,19,1874,45,26
2,20,1874,46,38
2,21,1874,68,39
2,22,1874,61,40
2,23,1874,75,37
2,24,1874,52,32
2,25,1874,34,24
2,26,1874,40,24
2,27,1874,40,26
2,28,1874,42,28
3,1,1874,50,30
3,2,1874,58,34
3,3,1874,65,37
3,4,1874,67,37
3,5,1874,52,29
3,6,1874,42,31
3,7,1874,40,32
3,8,1874,44,32
3,9,1874,34,30
3,10,1874,42,21
3,11,1874,38,27
3,12,1874,36,24
3,13,1874,28,19
3,14,1874,39,23
3,15,1874,48,28
3,16,1874,44,30
3,17,1874,54,37
3,18,1874,60,46
3,19,1874,66,48
3,20,1874,63,43
3,21,1874,54,37
3,22,1874,53,40
3,23,1874,48,26
3,24,1874,36,20
3,25,1874,50,25
3,26,1874,60,40
3,27,1874,54,34
3,28,1874,50,38
3,29,1874,48,32
3,30,1874,57,34
3,31,1874,50,30
4,1,1874,35,28
4,2,1874,44,31
4,3,1874,50,36
4,4,1874,46,25
4,5,1874,38,22
4,6,1874,58,34
4,7,1874,48,42
4,8,1874,54,36
4,9,1874,46,38
4,10,1874,45,36
4,11,1874,58,28
4,12,1874,40,18
4,13,1874,46,28
4,14,1874,62,34
4,15,1874,64,35
4,16,1874,60,43
4,17,1874,48,36
4,18,1874,49,34
4,19,1874,50,37
4,20,1874,46,42
4,21,1874,58,43
4,22,1874,56,40
4,23,1874,48,40
4,24,1874,56,40
4,25,1874,46,38
4,26,1874,46,36
4,27,1874,56,39
4,28,1874,50,36
4,29,1874,44,29
4,30,1874,55,34
5,1,1874,65,44
5,2,1874,55,42
5,3,1874,62,36
5,4,1874,60,44
5,5,1874,59,44
5,6,1874,64,44
5,7,1874,54,44
5,8,1874,70,41
5,9,1874,83,54
5,10,1874,88,58
5,11,1874,70,45
5,12,1874,65,42
5,13,1874,74,49
5,14,1874,80,57
5,15,1874,68,52
5,16,1874,66,50
5,17,1874,72,56
5,18,1874,66,52
5,19,1874,68,46
5,20,1874,64,51
5,21,1874,62,52
5,22,1874,68,47
5,23,1874,70,49
5,24,1874,60,54
5,25,1874,80,54
5,26,1874,70,56
5,27,1874,72,54
5,28,1874,80,55
5,29,1874,85,57
5,30,1874,81,59
5,31,1874,83,60
6,1,1874,75,56
6,2,1874,69,51
6,3,1874,66,52
6,4,1874,73,52
6,5,1874,84,62
6,6,1874,78,70
6,7,1874,86,68
6,8,1874,91,73
6,9,1874,94,77
6,10,1874,83,72
6,11,1874,74,65
6,12,1874,85,65
6,13,1874,71,62
6,14,1874,72,56
6,15,1874,79,62
6,16,1874,79,60
6,17,1874,80,66
6,18,1874,82,63
6,19,1874,74,64
6,20,1874,67,57
6,21,1874,76,58
6,22,1874,88,64
6,23,1874,92,68
6,24,1874,86,70
6,25,1874,87,62
6,26,1874,87,73
6,27,1874,82,70
6,28,1874,89,66
6,29,1874,97,72
6,30,1874,87,74
7,1,1874,85,65
7,2,1874,81,68
7,3,1874,81,66
7,4,1874,86,71
7,5,1874,76,66
7,6,1874,75,61
7,7,1874,80,60
7,8,1874,88,66
7,9,1874,91,73
7,10,1874,91,72
7,11,1874,90,73
7,12,1874,86,69
